vjdbv0.3_field_id	vjdbv0.3_name	vjdbv0.3_description	vjdbv0.3_fields_type	vjdbv0.3_privacy	vjdbv0.2__field_id	vjdbv0.1_field_id	ena_field_id	rki_field_id	migs-vi_field_id	migs-uvig_field_id	env-o_field_id	ncbi_virus_n_nucleotide_field_id	bv-brc_b_field_name	ena_erc32_field_name	ena_erc33_field_name	ena_submission_object_object_name	vjbd_submission_object_object_name	vjdbv0.3_group1	vjdbv0.3_group2	vjdbv0.3_group3	vjdbv0.3_tags	vjdbv0.3_input_source	vjdbv0.3_notes	vjdbv0.3_changes	vjdbv0.2_previous_changes	ncbi_virus_n_field_name	ncbi_virus_n_field_description	ncbi_virus_n_type	ncbi_virus_n_curation_notes	bv-brc_b_category	bv-brc_b_schema_category	bv-brc_b_field_id	bv-brc_b_field_type	bv-brc_b_type	bv-brc_b_curation_notes	ena_erc32_field_description	ena_erc32_controlled_vocabulary	ena_erc32_field_type	ena_erc33_field_description	ena_erc33_controlled_vocabulary	ena_erc33_field_type	ena_submission_requiredness	vjdb_submission_requiredness	vjdb_example	vjdb_validation_rules	ena_submission_fieldtype	ena_submission_validation
insdc_accession_id	Accession	GenBank Accession ID = NCBI Accession, ENA, DDBJ (INSDC)	keyword	public	insdc_accession_id	genbank_accession_number						Accession	GenBank Accessions					Organizational	Identifiers		"[""NCBI Virus"", ""BV-BRC"", ""Organizational"", ""Identifiers""]"	NCBI Virus|BVBRC				Accession	A unique identifier (Nucleotide, Protein or Assembly Accession, depending on the selected tab) assigned to the sequence record in GenBank.			DB Cross Reference		genbank_accessions	string_ci													text	unique
assembly_accession_id	Assembly Accession	Assembly ID of the sequence (INSDC)	keyword	public	assembly_accession_id	assembly_accession						Assembly	Assembly Accession			ENA Analysis	VJDB Analysis	Organizational	Identifiers		"[""NCBI Virus"", ""BV-BRC"", ""Organizational"", ""ENA Analysis"", ""VJDB Analysis"", ""Identifiers""]"	NCBI Virus|BVBRC				Assembly	NCBI Virus Assembly accession number. For more information about NCBI Virus assembly, see Data Model, Type of Data and Dataflow section.			DB Cross Reference		assembly_accession	string		without version											text	unique
bioproject_accession_id	Bioproject Accession	References the BioProject Accession (ID) (INSDC)	keyword	public	bioproject_accession_id	bioproject	study accession					BioProject	BioProject Accession			ENA Study		Organizational	Identifiers		"[""ENA"", ""NCBI Virus"", ""BV-BRC"", ""Organizational"", ""ENA Study"", ""Identifiers""]"	NCBI Virus|BVBRC				BioProject	The BioProject accession number associated with the sequence.			DB Cross Reference		bioproject_accession	string									mandatory	mandatory			text	unique
biosample_accession_id	Biosample Accession	References the BioSample Accession (ID) (INSDC)	keyword	public	biosample_accession_id	biosample_accession	sample accession		source_mat_id?			BioSample	BioSample Accession			ENA Sample	VJDB Sample	Organizational	Identifiers		"[""ENA"", ""MIGS-VI"", ""NCBI Virus"", ""BV-BRC"", ""Organizational"", ""ENA Sample"", ""VJDB Sample"", ""Identifiers""]"	NCBI Virus|BVBRC				BioSample	The BioSample accession number associated with the sequence.			DB Cross Reference		biosample_accession	string									mandatory	mandatory			text	unique
collection_date	Collection Date	Date when the sample was collected	date	public	collection_date	date	collection date	SEQUENCE. DATE_OF_SAMPLING	collection_date; has intervall			Collection Date	Collection Date	collection date	collection date	ENA Sample	VJDB Sample	Sample	Collection		"[""ENA"", ""RKI"", ""MIGS-VI"", ""NCBI Virus"", ""BV-BRC"", ""ENA ERC32"", ""ENA ERC33"", ""Sample"", ""ENA Sample"", ""VJDB Sample"", ""Collection""]"	NCBI Virus|BVBRC	"would be ""Date"" but to make distinction as there are multiple dates"		Is public in VJDB, needs restructuring due to byCovid	Collection Date	The date when the virus sample was collected.			Isolate Info	Isolation Metadata	collection_date	string			(Mandatory) The date the sample was collected with the intention of sequencing, either as an instance (single point in time) or interval. in case no exact time is available, the date/time can be right truncated i.e. all of these are valid iso8601 compliant times: 2008-01-23t19:23:10+00:00; 2008-01-23t19:23:10; 2008-01-23; 2008-01; 2008.			(Mandatory) The date the sample was collected with the intention of sequencing, either as an instance (single point in time) or interval. in case no exact time is available, the date/time can be right truncated i.e. all of these are valid iso8601 compliant times: 2008-01-23t19:23:10+00:00; 2008-01-23t19:23:10; 2008-01-23; 2008-01; 2008.		TEXT_FIELD	mandatory	mandatory			date	freetext
collection_country	Country	Country or sea area where the sample was collected	keyword	public	collection_country	country	geographic location (country and/or sea)		geo_loc_name			Country	Isolation Country	geographic location (country and/or sea)	geographic location (country and/or sea)	ENA Sample	VJDB Sample	Sample			"[""ENA"", ""MIGS-VI"", ""NCBI Virus"", ""BV-BRC"", ""ENA ERC32"", ""ENA ERC33"", ""Sample"", ""ENA Sample"", ""VJDB Sample""]"	NCBI Virus|BVBRC			Is public in VJDB, needs restructuring due to byCovid	Country	The country of specimen collection.		split Geo_Location and compare to collection_country , ingest to collection_region and collection_city	Isolate Info	Isolation Metadata	isolation_country	string_ci			(Mandatory) The geographical origin of where the sample was collected from, with the intention of sequencing, as defined by the country or sea name. country or sea names should be chosen from the insdc country list (http://insdc.org/country.html).			(Mandatory) The location the sample was collected from with the intention of sequencing, as defined by the country or sea. country or sea names should be chosen from the insdc country list (http://insdc.org/country.html).		TEXT_CHOICE_FIELD	mandatory	mandatory			combo	controlled_vocabulary
sequence_title	GenBank Title	Title name of the sequnce based on GenBank entry	keyword	internal	sequence_title							GenBank Title						Sample	Sequence		"[""NCBI Virus"", ""Sample"", ""Sequence""]"	NCBI Virus				GenBank Title	The title of the GenBank record associated with the sequence.																			text	freetext
is_genbank_sequence	GenBank Sequence	This sequence is a GenBank sequence	boolean	public	is_genbank_sequence							GenBank RefSeq						Sample	Sequence		"[""NCBI Virus"", ""Sample"", ""Sequence""]"	NCBI Virus				GenBank/RefSeq	Specifies if the sequence is from GenBank or RefSeq database.		convert GenBank/RefSeq input to boolean																		
is_reference_sequence	Reference Sequence	This sequence is a reference sequence	boolean	public	is_reference_sequence	refseq_flag						GenBank RefSeq	Reference					Sample	Sequence		"[""NCBI Virus"", ""BV-BRC"", ""Sample"", ""Sequence""]"	NCBI Virus|BVBRC				GenBank/RefSeq	Specifies if the sequence is from GenBank or RefSeq database.		convert GenBank/RefSeq input to boolean	Type Info		reference_genome	string		"if reference sequence, value = ""Reference"""												
collection_city	City	City where the sample was collected	keyword	public	collection_city		geographic location (region and locality)					Geo Location						Sample			"[""ENA"", ""NCBI Virus"", ""Sample""]"	NCBI Virus			Not in VJDB, Completly new due to byCovid	Geo Location	"The geographic location where the virus was isolated. NCBI Virus relies solely on the information provided by submitters, which may sometimes mistakenly identify regions where sequences were processed instead of the actual collection locations. The granularity of the information displayed in the column depends on the submitter. For example, it can be ""Australia: Heron Island, Great Barrier Reef"", or just ""China"". The country and other geographic location names are based on the INSDC Geographic Location list."		split Geo_Location and compare to collection_country , ingest to collection_region and collection_city													recommended	recommended			text	freetext
